OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
1001,758,4980d3ba-0923-48ae-9a52-fab5baaf8aea,0,6,2,0,11.47541,0.403846,5066.272093,21,7,0,1
1002,759,996f9abd-04f0-42d9-b4b8-f618c969bfb1,3,4,2,0,9.836066,0.346154,4753.31686,5,3,3,1
1003,762,ed3ee5b5-1eef-45bc-8b85-f3e112d3701c,1,12,7,7,29.508197,1.038462,4087.637752,15,17,1,2
1004,763,461c28f8-e53e-4cac-bea4-09959f268dd1,0,6,3,5,19.672131,0.692308,3123.028786,12,12,0,1
1005,764,f392f93c-1389-4452-b12e-d9f141638073,3,8,5,10,27.868852,0.980769,2948.675579,11,14,3,1
1006,765,db3ffda4-8e19-427d-a5e7-5a805f389230,1,9,5,2,22.95082,0.807692,4581.374652,35,13,1,1
1007,766,a2b59d77-d02f-457d-af97-81128e5c8856,0,2,7,0,11.47541,0.403846,617.437107,3,7,0,1
1008,767,33b4210c-270d-4368-a164-6f00a9e2323c,1,5,6,0,11.47541,0.403846,1661.93479,0,6,1,1
1009,769,06a2e111-05ea-4719-a041-48190cc843e4,1,7,8,0,14.754098,0.519231,2778.038371,3,8,1,1
1010,773,1580fd58-b6d8-429e-bc7a-87d45eefbad9,1,9,2,10,27.868852,0.980769,3138.778891,14,16,1,1
1011,774,953fc874-b9df-432c-bba1-2ad9bc7bc535,1,6,8,3,19.672131,0.692308,2234.767664,6,11,1,1
1012,775,29398229-32fb-409e-9ca5-ec070fdd7c4b,1,9,11,0,18.032787,0.634615,4701.238809,4,10,1,1
1013,776,e7f7d257-2f5e-466f-9927-65cb7f1eda8c,1,5,7,0,13.114754,0.461538,3195.691275,4,7,1,1
1014,777,8154ff2f-568e-43e8-aaf7-425db1a48ab7,0,1,2,0,3.278689,0.115385,2005.54116,8,2,0,1
1015,778,54833051-f890-44eb-8012-72ae5a6cd16b,0,7,9,0,16.393443,0.576923,1090.286886,4,10,0,1
