ZipCode,B15003001,"B15003001, Error",B15003002,B15003003,B15003004,B15003005,B15003006,B15003007,B15003008,B15003009,B15003010,B15003011,B15003012,B15003013,B15003014,B15003015,B15003016,B15003017,B15003018,B15003019,B15003020,B15003021,B15003022,B15003023,B15003024,B15003025,BachelorAbove
90001,30443,1005,2132,11,106,280,458,1153,505,647,4365,833,1066,2074,938,1498,1678,6518,471,768,2586,1148,1009,159,22,18,3.9681
90002,26162,1131,1506,97,24,267,580,646,435,669,2728,434,802,1319,842,1533,1034,6751,363,877,3209,919,837,165,84,41,4.3078
90003,35195,1033,1887,24,13,208,412,1086,594,938,4211,619,1086,2704,1292,1785,1756,7968,597,1094,3884,892,1808,280,30,27,6.0946
90004,44115,1187,2022,0,34,148,344,487,655,528,2677,269,629,2236,409,656,1309,6802,535,1243,5639,2673,10780,2537,1104,399,33.5940
90005,26814,1018,1105,0,0,40,461,378,416,303,2448,212,356,1771,146,464,652,5772,296,702,3253,1026,5628,977,316,92,26.1542
90006,40207,1280,2365,3,15,263,514,979,487,724,5270,471,800,4095,527,828,867,9977,218,731,3666,1456,4820,819,197,115,14.8009
90007,20362,790,1022,0,0,81,279,388,295,476,1890,227,664,925,497,610,703,3980,194,627,2395,729,2863,1153,140,224,21.5107
90008,23054,881,322,13,0,0,59,173,129,217,463,23,317,381,359,856,730,4862,422,1049,4567,1875,3563,2178,379,117,27.0539
90010,3196,481,13,0,0,0,10,39,17,0,44,25,6,61,0,6,44,446,34,59,530,331,1060,368,80,23,47.9036
90011,55908,1377,4782,44,40,352,1084,1851,915,1464,10648,1321,2353,5024,2176,2208,1873,10791,618,1178,4023,1354,1406,301,89,13,3.2357
90012,22996,1159,1676,21,0,41,121,235,177,362,806,382,526,859,786,1199,937,3829,579,905,2368,928,4134,1282,709,134,27.2178
90013,9544,1101,195,0,0,0,0,38,0,68,262,129,35,151,498,357,433,1576,384,321,1483,376,2246,664,169,159,33.9271
90014,6261,624,267,0,0,4,24,35,31,27,141,39,57,63,229,284,76,751,155,225,943,517,1590,517,219,67,38.2207
90015,11861,692,550,0,0,91,124,311,123,235,1193,115,262,829,169,494,395,1720,207,332,1193,624,1966,462,339,127,24.3993
90016,31133,1044,1168,0,15,57,161,388,221,507,1641,253,638,841,423,673,1293,6631,519,1673,6057,2115,3871,1578,261,149,18.8193
90017,14833,744,1501,0,4,181,196,416,625,440,1424,135,330,632,270,197,478,2371,237,498,1136,471,2182,520,425,164,22.1870
90018,31051,1004,1447,3,13,27,230,723,359,431,2667,456,637,1498,594,762,1522,6911,570,1327,4957,1509,2983,1076,166,183,14.1960
90019,47428,1252,1279,0,17,283,323,474,347,651,2582,327,1065,2054,669,915,1464,9555,509,1730,6340,2445,10030,2891,877,601,30.3597
90020,27981,1095,725,8,9,19,85,164,151,161,1555,128,465,987,370,406,481,5425,256,1084,3435,1592,8005,1634,578,258,37.4361
90021,2534,553,229,0,0,20,50,34,24,26,223,24,71,58,45,118,137,405,54,151,306,122,370,56,11,0,17.2455
90023,26296,1072,2232,2,11,213,313,732,546,669,4014,349,893,1984,838,956,1318,5187,486,751,2301,792,1308,331,47,23,6.4991
90024,22879,839,42,0,0,0,0,28,10,42,29,0,87,116,75,65,254,1749,80,539,2374,1006,7920,4063,2893,1507,71.6072
90025,35780,1139,295,0,0,0,0,30,40,193,753,159,26,620,114,400,484,2500,272,766,4020,1735,13693,5823,2496,1361,65.3242
90026,48383,1110,1969,0,6,145,326,616,546,540,2703,375,665,1747,748,1015,1259,7319,804,1520,6249,2978,12038,3650,724,441,34.8325
90027,37389,1217,782,29,19,34,126,78,121,266,492,207,336,289,386,278,786,5367,518,1238,5494,2469,12226,3599,1792,457,48.3404
90028,22272,1058,546,0,0,0,55,132,81,46,732,105,369,176,337,373,973,3169,324,795,3656,1343,6893,1468,555,144,40.6789
