Month,Fiscal Year,Month Number,Miles of Sewer Cleaned
JUL,2014,1,548
AUG,2014,2,560
SEP,2014,3,468
OCT,2014,4,498
NOV,2014,5,470
DEC,2014,6,447
JAN,2014,7,561
FEB,2014,8,565
MAR,2014,9,620
APR,2014,10,634
MAY,2014,11,597
JUN,2014,12,515
JUL,2015,1,563
AUG,2015,2,562
SEP,2015,3,590
OCT,2015,4,591
NOV,2015,5,545
DEC,2015,6,633
JAN,2015,7,514
FEB,2015,8,583
MAR,2015,9,596
APR,2015,10,598
MAY,2015,11,604
JUN,2015,12,536
JUL,2016,1,599
AUG,2016,2,629
SEP,2016,3,587
OCT,2016,4,625
NOV,2016,5,572
DEC,2016,6,576
JAN,2016,7,518
FEB,2016,8,563
APR,2016,10,592
MAR,2016,9,589
JUN,2016,12,611
MAY,2016,11,676
JUL,2017,1,572
SEP,2017,3,580
NOV,2017,5,582
FEB,2017,8,555
AUG,2017,2,668
DEC,2017,6,549
JAN,2017,7,527
OCT,2017,4,613
MAR,2017,9,507
