FY,Month,FYMonth,NUMBER OF CATCH BASIN CLEANED
2014,JULY,1,7275
2014,AUGUST,2,4498
2014,SEPTEMBER,3,3861
2014,OCTOBER,4,4055
2014,NOVEMBER,5,3685
2014,DECEMBER,6,5400
2014,JANUARY,7,6252
2014,FEBRUARY,8,5991
2014,MARCH,9,5189
2014,APRIL,10,6562
2014,MAY,11,7817
2014,JUNE,12,4907
2015,FEBRUARY,8,3679
2015,DECEMBER,6,2414
2015,JANUARY,7,2087
2015,MARCH,9,9615
2015,APRIL,10,10313
2015,MAY,11,7351
2015,JUNE,12,10391
2015,SEPTEMBER,3,7984
2015,JULY,1,4077
2015,AUGUST,2,4136
2015,OCTOBER,4,8583
2015,NOVEMBER,5,3098
2016,JULY,1,9647
2016,AUGUST,2,12242
2016,DECEMBER,6,8971
2016,NOVEMBER,5,7894
2016,OCTOBER,4,7460
2016,SEPTEMBER,3,10330
2016,JANUARY,7,8971
2016,FEBRUARY,8,9240
2017,JULY,1,7421
2016,MAY,11,7648
2016,APRIL,10,10475
2016,JUNE,12,9618
2016,MARCH,9,12047
2017,AUGUST,2,9413
2017,SEPTEMBER,3,9070
2017,OCTOBER,4,8403
2017,NOVEMBER,5,8733
2017,JANUARY,7,5864
2017,FEBRUARY,8,5951
2017,DECEMBER,6,7070
2017,MARCH,9,6228
